 "< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"10/14/2022 01:41'58"	"44848.0708101852"	"  17.2000"	"  84.0000"	"  1020.8000"	""	""	""	""	""	
"10/14/2022 01:51'58"	"44848.0777546296"	"  17.2000"	"  84.0000"	"  1020.6000"	""	""	""	""	""	
"10/14/2022 02:01'58"	"44848.0846990741"	"  17.2000"	"  84.0000"	"  1020.4000"	""	""	""	""	""	
"10/14/2022 02:11'58"	"44848.0916435185"	"  17.2000"	"  84.0000"	"  1020.1000"	""	""	""	""	""	
"10/14/2022 02:21'58"	"44848.0985879630"	"  17.2000"	"  84.0000"	"  1020.0000"	""	""	""	""	""	
"10/14/2022 02:31'58"	"44848.1055324074"	"  17.2000"	"  84.0000"	"  1020.0000"	""	""	""	""	""	
"10/14/2022 02:41'58"	"44848.1124768519"	"  17.2000"	"  84.0000"	"  1019.9000"	""	""	""	""	""	
"10/14/2022 02:51'58"	"44848.1194212963"	"  17.2000"	"  84.0000"	"  1019.9000"	""	""	""	""	""	
"10/14/2022 03:01'58"	"44848.1263657407"	"  17.2000"	"  84.0000"	"  1019.8000"	""	""	""	""	""	
"10/14/2022 03:11'58"	"44848.1333101852"	"  17.2000"	"  84.0000"	"  1019.8000"	""	""	""	""	""	
"10/14/2022 03:21'58"	"44848.1402546296"	"  17.1000"	"  84.0000"	"  1019.8000"	""	""	""	""	""	
"10/14/2022 03:31'58"	"44848.1471990741"	"  17.1000"	"  84.0000"	"  1019.7000"	""	""	""	""	""	
"10/14/2022 03:41'58"	"44848.1541435185"	"  17.1000"	"  84.0000"	"  1019.7000"	""	""	""	""	""	
"10/14/2022 03:51'58"	"44848.1610879630"	"  17.1000"	"  84.0000"	"  1019.7000"	""	""	""	""	""	
"10/14/2022 04:01'58"	"44848.1680324074"	"  17.1000"	"  85.0000"	"  1019.6000"	""	""	""	""	""	
"10/14/2022 04:11'58"	"44848.1749768519"	"  17.1000"	"  85.0000"	"  1019.7000"	""	""	""	""	""	
"10/14/2022 04:21'58"	"44848.1819212963"	"  17.0000"	"  85.0000"	"  1019.7000"	""	""	""	""	""	
"10/14/2022 04:31'58"	"44848.1888657407"	"  17.0000"	"  85.0000"	"  1019.6000"	""	""	""	""	""	
"10/14/2022 04:41'58"	"44848.1958101852"	"  17.0000"	"  85.0000"	"  1019.7000"	""	""	""	""	""	
