Vendor,GRAPHTEC Corporation
Model,"GL840"
Version,"Ver1.23"
MaxChannel,20
GSStartCH,20
WLStartCH,20
WLUnit,OFF,OFF,OFF,OFF,OFF
MaxLogicChannel,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1s
Total Data Points,2403               
Trigger,0                  
Start time,2023-02-14,10:45:45
End time,2023-02-14,11:25:50
Trigger time,2023-02-14,10:45:47
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH16," CH16",M,DC,1-5V,,Off,+5.000,+1.000, V,5,23,30,1
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH16,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms," V","A1234567890","A1234567890","AO1234/WLAO12345"
1,2023-02-14 10:45:47,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2,2023-02-14 10:45:48,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3,2023-02-14 10:45:49,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4,2023-02-14 10:45:50,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5,2023-02-14 10:45:51,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6,2023-02-14 10:45:52,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7,2023-02-14 10:45:53,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8,2023-02-14 10:45:54,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9,2023-02-14 10:45:55,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10,2023-02-14 10:45:56,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11,2023-02-14 10:45:57,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12,2023-02-14 10:45:58,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13,2023-02-14 10:45:59,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14,2023-02-14 10:46:00,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15,2023-02-14 10:46:01,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16,2023-02-14 10:46:02,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17,2023-02-14 10:46:03,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18,2023-02-14 10:46:04,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19,2023-02-14 10:46:05,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20,2023-02-14 10:46:06,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21,2023-02-14 10:46:07,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22,2023-02-14 10:46:08,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23,2023-02-14 10:46:09,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24,2023-02-14 10:46:10,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25,2023-02-14 10:46:11,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26,2023-02-14 10:46:12,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27,2023-02-14 10:46:13,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28,2023-02-14 10:46:14,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29,2023-02-14 10:46:15,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30,2023-02-14 10:46:16,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31,2023-02-14 10:46:17,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32,2023-02-14 10:46:18,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33,2023-02-14 10:46:19,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34,2023-02-14 10:46:20,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35,2023-02-14 10:46:21,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36,2023-02-14 10:46:22,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37,2023-02-14 10:46:23,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
38,2023-02-14 10:46:24,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
39,2023-02-14 10:46:25,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
40,2023-02-14 10:46:26,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
41,2023-02-14 10:46:27,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
42,2023-02-14 10:46:28,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
43,2023-02-14 10:46:29,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
44,2023-02-14 10:46:30,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
45,2023-02-14 10:46:31,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
46,2023-02-14 10:46:32,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
47,2023-02-14 10:46:33,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
48,2023-02-14 10:46:34,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
49,2023-02-14 10:46:35,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
50,2023-02-14 10:46:36,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
51,2023-02-14 10:46:37,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
52,2023-02-14 10:46:38,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
53,2023-02-14 10:46:39,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
54,2023-02-14 10:46:40,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
55,2023-02-14 10:46:41,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
56,2023-02-14 10:46:42,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
57,2023-02-14 10:46:43,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
58,2023-02-14 10:46:44,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
59,2023-02-14 10:46:45,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
60,2023-02-14 10:46:46,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
61,2023-02-14 10:46:47,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
62,2023-02-14 10:46:48,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
63,2023-02-14 10:46:49,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
64,2023-02-14 10:46:50,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
65,2023-02-14 10:46:51,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
66,2023-02-14 10:46:52,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
67,2023-02-14 10:46:53,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
68,2023-02-14 10:46:54,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
69,2023-02-14 10:46:55,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
70,2023-02-14 10:46:56,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
71,2023-02-14 10:46:57,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
72,2023-02-14 10:46:58,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
73,2023-02-14 10:46:59,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
74,2023-02-14 10:47:00,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
75,2023-02-14 10:47:01,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
76,2023-02-14 10:47:02,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
77,2023-02-14 10:47:03,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
78,2023-02-14 10:47:04,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
79,2023-02-14 10:47:05,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
80,2023-02-14 10:47:06,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
81,2023-02-14 10:47:07,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
82,2023-02-14 10:47:08,0,+3.011,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
