"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/14/2023 10:43'32"	"44971.4468981481"	"  24.9000"	"  26.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:43'42"	"44971.4470138889"	"  24.9000"	"  25.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:43'52"	"44971.4471296296"	"  24.9000"	"  24.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'02"	"44971.4472453704"	"  24.9000"	"  24.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'12"	"44971.4473611111"	"  25.0000"	"  24.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'22"	"44971.4474768519"	"  25.0000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'32"	"44971.4475925926"	"  25.0000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'42"	"44971.4477083333"	"  25.0000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:44'52"	"44971.4478240741"	"  25.0000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'02"	"44971.4479398148"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'12"	"44971.4480555556"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'22"	"44971.4481712963"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'32"	"44971.4482870370"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'42"	"44971.4484027778"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:45'52"	"44971.4485185185"	"  25.0000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'02"	"44971.4486342593"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'12"	"44971.4487500000"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'22"	"44971.4488657407"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'32"	"44971.4489814815"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'42"	"44971.4490972222"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:46'52"	"44971.4492129630"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'02"	"44971.4493287037"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'12"	"44971.4494444444"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'22"	"44971.4495601852"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'32"	"44971.4496759259"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'42"	"44971.4497916667"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:47'52"	"44971.4499074074"	"  25.1000"	"  23.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'02"	"44971.4500231481"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'12"	"44971.4501388889"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'22"	"44971.4502546296"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'32"	"44971.4503703704"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'42"	"44971.4504861111"	"  25.1000"	"  22.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:48'52"	"44971.4506018519"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:49'02"	"44971.4507175926"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:49'12"	"44971.4508333333"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:49'22"	"44971.4509490741"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:49'32"	"44971.4510648148"	"  25.2000"	"  21.0000"	"  1007.4000"	""	""	""	""	""	
"02/14/2023 10:49'42"	"44971.4511805556"	"  25.2000"	"  21.0000"	"  1007.4000"	""	""	""	""	""	
"02/14/2023 10:49'52"	"44971.4512962963"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:50'02"	"44971.4514120370"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:50'12"	"44971.4515277778"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:50'22"	"44971.4516435185"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
"02/14/2023 10:50'32"	"44971.4517592593"	"  25.2000"	"  21.0000"	"  1007.3000"	""	""	""	""	""	
