"< Measurement Data Text Output >"
""
"Date/Time"	"@date()"	"ch.1"	"ch.2"	"ch.3"	"ch.4"	"ch.5"	"ch.6"	"ch.7"	"ch.8"
""	""	"°C"	"%RH"	"hPa"	""	""	""	""	""
"02/23/2023 11:47'34"	"44980.4913657407"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:47'44"	"44980.4914814815"	"  22.0000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:47'54"	"44980.4915972222"	"  22.0000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:48'04"	"44980.4917129630"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:48'14"	"44980.4918287037"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:48'24"	"44980.4919444444"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:48'34"	"44980.4920601852"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:48'44"	"44980.4921759259"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:48'54"	"44980.4922916667"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:49'04"	"44980.4924074074"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:49'14"	"44980.4925231481"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:49'24"	"44980.4926388889"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:49'34"	"44980.4927546296"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:49'44"	"44980.4928703704"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:49'54"	"44980.4929861111"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:50'04"	"44980.4931018519"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:50'14"	"44980.4932175926"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:50'24"	"44980.4933333333"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:50'34"	"44980.4934490741"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:50'44"	"44980.4935648148"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:50'54"	"44980.4936805556"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:51'04"	"44980.4937962963"	"  22.0000"	"  83.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:51'14"	"44980.4939120370"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:51'24"	"44980.4940277778"	"  22.0000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:51'34"	"44980.4941435185"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:51'44"	"44980.4942592593"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:51'54"	"44980.4943750000"	"  21.9000"	"  83.0000"	"  1019.1000"	""	""	""	""	""	
"02/23/2023 11:52'04"	"44980.4944907407"	"  21.9000"	"  83.0000"	"  1019.1000"	""	""	""	""	""	
"02/23/2023 11:52'14"	"44980.4946064815"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:52'24"	"44980.4947222222"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:52'34"	"44980.4948379630"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:52'44"	"44980.4949537037"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:52'54"	"44980.4950694444"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'04"	"44980.4951851852"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'14"	"44980.4953009259"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'24"	"44980.4954166667"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'34"	"44980.4955324074"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'44"	"44980.4956481481"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:53'54"	"44980.4957638889"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'04"	"44980.4958796296"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'14"	"44980.4959953704"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'24"	"44980.4961111111"	"  21.9000"	"  83.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'34"	"44980.4962268519"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'44"	"44980.4963425926"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:54'54"	"44980.4964583333"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:55'04"	"44980.4965740741"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:55'14"	"44980.4966898148"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:55'24"	"44980.4968055556"	"  21.9000"	"  84.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:55'34"	"44980.4969212963"	"  21.9000"	"  84.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:55'44"	"44980.4970370370"	"  21.9000"	"  84.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:55'54"	"44980.4971527778"	"  21.9000"	"  84.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:56'04"	"44980.4972685185"	"  21.9000"	"  84.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:56'14"	"44980.4973842593"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:56'24"	"44980.4975000000"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:56'34"	"44980.4976157407"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:56'44"	"44980.4977314815"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:56'54"	"44980.4978472222"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:57'04"	"44980.4979629630"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:57'14"	"44980.4980787037"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:57'24"	"44980.4981944444"	"  21.9000"	"  85.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:57'34"	"44980.4983101852"	"  21.9000"	"  85.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:57'44"	"44980.4984259259"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:57'54"	"44980.4985416667"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:58'04"	"44980.4986574074"	"  21.9000"	"  86.0000"	"  1018.9000"	""	""	""	""	""	
"02/23/2023 11:58'14"	"44980.4987731481"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
"02/23/2023 11:58'24"	"44980.4988888889"	"  21.9000"	"  86.0000"	"  1019.0000"	""	""	""	""	""	
