Vendor,GRAPHTEC Corporation
Model,"GL840"
Version,"Ver1.23"
MaxChannel,20
GSStartCH,20
WLStartCH,20
WLUnit,OFF,OFF,OFF,OFF,OFF
MaxLogicChannel,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1s
Total Data Points,2731               
Trigger,0                  
Start time,2023-02-23,11:48:21
End time,2023-02-23,12:33:53
Trigger time,2023-02-23,11:48:22
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH16," CH16",M,DC,1-5V,,Off,+5.000,+1.000, V,5,23,30,1
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH16,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms," V","A1234567890","A1234567890","AO1234/WLAO12345"
1,2023-02-23 11:48:22,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2,2023-02-23 11:48:23,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3,2023-02-23 11:48:24,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4,2023-02-23 11:48:25,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5,2023-02-23 11:48:26,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6,2023-02-23 11:48:27,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7,2023-02-23 11:48:28,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8,2023-02-23 11:48:29,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9,2023-02-23 11:48:30,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10,2023-02-23 11:48:31,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11,2023-02-23 11:48:32,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12,2023-02-23 11:48:33,0,+3.058,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13,2023-02-23 11:48:34,0,+3.061,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14,2023-02-23 11:48:35,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15,2023-02-23 11:48:36,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16,2023-02-23 11:48:37,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17,2023-02-23 11:48:38,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18,2023-02-23 11:48:39,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19,2023-02-23 11:48:40,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20,2023-02-23 11:48:41,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21,2023-02-23 11:48:42,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22,2023-02-23 11:48:43,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23,2023-02-23 11:48:44,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24,2023-02-23 11:48:45,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25,2023-02-23 11:48:46,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26,2023-02-23 11:48:47,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27,2023-02-23 11:48:48,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28,2023-02-23 11:48:49,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29,2023-02-23 11:48:50,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30,2023-02-23 11:48:51,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31,2023-02-23 11:48:52,0,+3.064,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32,2023-02-23 11:48:53,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33,2023-02-23 11:48:54,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34,2023-02-23 11:48:55,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35,2023-02-23 11:48:56,0,+3.070,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
