Vendor,GRAPHTEC Corporation
Model,"GL840"
Version,"Ver1.23"
MaxChannel,20
GSStartCH,20
WLStartCH,20
WLUnit,OFF,OFF,OFF,OFF,OFF
MaxLogicChannel,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
TempUnit,C
Sampling interval,1s
Total Data Points,16672              
Trigger,0                  
Start time,2023-02-23,12:36:30
End time,2023-02-23,17:14:24
Trigger time,2023-02-23,12:36:32
AMP settings
CH,SignalName,Amp,Input,Range,Temperature Range,Filter,SpanUpper,SpanLower,Unit,Color,,,Line,Scaling settings,Input Upper,Input Lower,Output Upper,Output Lower,Unit
CH16," CH16",M,DC,1-5V,,Off,+5.000,+1.000, V,5,23,30,1
CH,Input,Slope,Filter,Span,,Unit,Color,,,Line
Data
Number,Date&Time,ms,CH16,Alarm1-10,Alarm11-20,AlarmOut
NO.,Time,ms," V","A1234567890","A1234567890","AO1234/WLAO12345"
1,2023-02-23 12:36:32,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2,2023-02-23 12:36:33,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3,2023-02-23 12:36:34,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4,2023-02-23 12:36:35,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5,2023-02-23 12:36:36,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6,2023-02-23 12:36:37,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7,2023-02-23 12:36:38,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8,2023-02-23 12:36:39,0,+4.015,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9,2023-02-23 12:36:40,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10,2023-02-23 12:36:41,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11,2023-02-23 12:36:42,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
12,2023-02-23 12:36:43,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
13,2023-02-23 12:36:44,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
14,2023-02-23 12:36:45,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
15,2023-02-23 12:36:46,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
16,2023-02-23 12:36:47,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
17,2023-02-23 12:36:48,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
18,2023-02-23 12:36:49,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
19,2023-02-23 12:36:50,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
20,2023-02-23 12:36:51,0,+4.013,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
21,2023-02-23 12:36:52,0,+4.014,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
22,2023-02-23 12:36:53,0,+4.016,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
23,2023-02-23 12:36:54,0,+4.016,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
24,2023-02-23 12:36:55,0,+4.017,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
25,2023-02-23 12:36:56,0,+4.015,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
26,2023-02-23 12:36:57,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
27,2023-02-23 12:36:58,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
28,2023-02-23 12:36:59,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
29,2023-02-23 12:37:00,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
30,2023-02-23 12:37:01,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
31,2023-02-23 12:37:02,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
32,2023-02-23 12:37:03,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
33,2023-02-23 12:37:04,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
34,2023-02-23 12:37:05,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
35,2023-02-23 12:37:06,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
36,2023-02-23 12:37:07,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
37,2023-02-23 12:37:08,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
38,2023-02-23 12:37:09,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
39,2023-02-23 12:37:10,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
40,2023-02-23 12:37:11,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
41,2023-02-23 12:37:12,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
42,2023-02-23 12:37:13,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
43,2023-02-23 12:37:14,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
44,2023-02-23 12:37:15,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
45,2023-02-23 12:37:16,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
46,2023-02-23 12:37:17,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
47,2023-02-23 12:37:18,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
48,2023-02-23 12:37:19,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
49,2023-02-23 12:37:20,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
50,2023-02-23 12:37:21,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
51,2023-02-23 12:37:22,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
52,2023-02-23 12:37:23,0,+4.014,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
53,2023-02-23 12:37:24,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
54,2023-02-23 12:37:25,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
55,2023-02-23 12:37:26,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
56,2023-02-23 12:37:27,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
57,2023-02-23 12:37:28,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
58,2023-02-23 12:37:29,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
59,2023-02-23 12:37:30,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
60,2023-02-23 12:37:31,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
61,2023-02-23 12:37:32,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
62,2023-02-23 12:37:33,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
63,2023-02-23 12:37:34,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
64,2023-02-23 12:37:35,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
65,2023-02-23 12:37:36,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
66,2023-02-23 12:37:37,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
67,2023-02-23 12:37:38,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
68,2023-02-23 12:37:39,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
69,2023-02-23 12:37:40,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
70,2023-02-23 12:37:41,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
71,2023-02-23 12:37:42,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
72,2023-02-23 12:37:43,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
73,2023-02-23 12:37:44,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
74,2023-02-23 12:37:45,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
75,2023-02-23 12:37:46,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
76,2023-02-23 12:37:47,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
77,2023-02-23 12:37:48,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
78,2023-02-23 12:37:49,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
79,2023-02-23 12:37:50,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
80,2023-02-23 12:37:51,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
81,2023-02-23 12:37:52,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
82,2023-02-23 12:37:53,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
83,2023-02-23 12:37:54,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
84,2023-02-23 12:37:55,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
85,2023-02-23 12:37:56,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
86,2023-02-23 12:37:57,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
87,2023-02-23 12:37:58,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
88,2023-02-23 12:37:59,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
89,2023-02-23 12:38:00,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
90,2023-02-23 12:38:01,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
91,2023-02-23 12:38:02,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
92,2023-02-23 12:38:03,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
93,2023-02-23 12:38:04,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
94,2023-02-23 12:38:05,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
95,2023-02-23 12:38:06,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
96,2023-02-23 12:38:07,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
97,2023-02-23 12:38:08,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
98,2023-02-23 12:38:09,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
99,2023-02-23 12:38:10,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
100,2023-02-23 12:38:11,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
101,2023-02-23 12:38:12,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
102,2023-02-23 12:38:13,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
103,2023-02-23 12:38:14,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
104,2023-02-23 12:38:15,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
105,2023-02-23 12:38:16,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
106,2023-02-23 12:38:17,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
107,2023-02-23 12:38:18,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
108,2023-02-23 12:38:19,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
109,2023-02-23 12:38:20,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
110,2023-02-23 12:38:21,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
111,2023-02-23 12:38:22,0,+4.019,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
