0	30	60	90	120	150
1	2876	2870	2849	2834	2873
2	2890	2891	2850	2789	2755
3	2998	2948	2891	2789	2737
4	2922	2937	2898	2820	2752
5	3014	3009	2963	2979	2971
6	2967	2930	2876	2847	2894
7	2907	2895	2858	2809	2840
8	2892	2866	2846	2812	2880
9	2899	2903	2904	2876	2943
10	2907	2892	2866	2835	2909
11	2917	2902	2875	2816	2794
12	2935	2914	2874	2824	2840
13	2946	2994	2988	2935	2897
14	3018	2990	3000	2941	2859
15	3001	2966	2915	2836	2784
16	2870	2922	2863	2827	2782
17	2873	2895	2878	2812	2865
18	2962	2968	2947	2988	2887
